"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,CPU Description,MHz,Chips,Cores,"Total
Threads","Total
Memory (GB)","ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle","Result
(Overall ssj_ops/watt)"
Acer Incorporated,"Acer AR585 F1
Jun 21, 2012 | HTML | Text",1,IBM Corporation,AMD Opteron 6278,2400,4,64,64,256,"2,296,333",713,176,"2,362"
Acer Incorporated,"Acer AR380 F2
Jul 11, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2630,2300,2,12,24,128,"946,189",325,99.6,"2,219"
Acer Incorporated,"Acer AR380 F2
Jul 11, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2640,2500,2,12,24,128,"1,007,444",307,99.5,"2,454"
Acer Incorporated,"Acer AR380 F2
Jul 11, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2665,2400,2,16,32,128,"1,347,230",409,103,"2,705"
Acer Incorporated,"Acer AR380 F2
Jul 11, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2640,2500,2,12,24,32,"990,555",254,81.9,"2,980"
Acer Incorporated,"Acer AT350 F2
Aug 8, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2640,2500,2,12,24,32,"1,006,865",255,83.5,"3,031"
Acer Incorporated,"Acer AT350 F2
Aug 8, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2665,2400,2,16,32,128,"1,365,171",414,96.6,"2,824"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Acer Incorporated,"Acer AT350 F2
Aug 8, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2630,2300,2,12,24,128,"961,609",323,96,"2,330"
Acer Incorporated,"Acer AT350 F2
Aug 8, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2640,2500,2,12,24,128,"1,028,960",327,98.2,"2,464"
Acer Incorporated,"Acer AT350 F2
Aug 8, 2012 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2665,2400,2,16,32,128,"1,347,230",409,103,"2,705"
Acer Incorporated,"Acer AW2000h-AW170h F2
Acer AW2000h
Oct 3, 2012 | HTML | Text",4,Oracle Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,8,64,128,128,"5,286,503","1,275",331,"3,501"
Acer Incorporated,"Acer AW2000h-Aw170h F2
Acer AW2000h
Jan 4, 2013 | HTML | Text",4,IBM Corporation,Intel Xeon E5-2670 2.6 GHz (Intel Turbo Boost Technology up to 3.30 GHz),2600,8,64,128,512,"6,419,253","1,700",364,"3,400"
Acer Incorporated,"Acer AR580 F2
Jan 9, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-4650 2.7 GHz (Intel Turbo Boost Technology up to 3.30 GHz),2700,4,32,64,32,"2,980,035",667,134,"4,134"
Acer Incorporated,"Acer AR585 F1
Jan 9, 2013 | HTML | Text",1,IBM Corporation,AMD Opteron 6380,2500,4,64,64,64,"3,151,008",581,149,"4,096"
Acer Incorporated,"Altos R380 F2
May 8, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,436,606",316,71.5,"4,036"
Acer Incorporated,"Altos R360 F2
May 8, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,429,746",275,80.4,"4,142"
Acer Incorporated,"Acer AR585 F1
Jun 26, 2013 | HTML | Text",1,IBM Corporation,AMD Opteron 6344,2600,4,48,48,64,"2,482,740",511,145,"3,739"
Acer Incorporated,"Acer AR580 F2
Jun 26, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-4607 2.2 GHz,2200,4,24,48,64,"1,646,236",368,109,"3,659"
Acer Incorporated,"Altos R380 F2
Jun 26, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2650,2200,2,16,32,32,"1,292,540",215,52.9,"5,268"
Acer Incorporated,"Altos R380 F2
Jun 26, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,32,"1,426,072",252,63.7,"5,227"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Acer Incorporated,"Altos R360 F2
Jul 16, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,432,448",258,72.4,"4,909"
Acer Incorporated,"Altos R360 F2
Jul 16, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2650 2.0 GHz (Intel Turbo Boost Technology up to 2.80 GHz),2000,2,16,32,24,"1,297,515",223,64,"4,893"
Acer Incorporated,"Altos T350 F2
Jul 16, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2650 2.0 GHz (Intel Turbo Boost Technology up to 2.80 GHz),2000,2,16,32,24,"1,310,610",219,56.1,"5,146"
Acer Incorporated,"Altos T350 F2
Jul 16, 2013 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,460,890",255,68.5,"5,091"
Apple Inc.,"Xserve3,1
Apr 8, 2009 | HTML | Text",1,Sun Microsystems Inc.,Intel(R) Xeon(R) CPU X5570,2930,2,8,16,18,"227,974",334,173,464
Apple Inc.,"Xserve2,1
Apr 8, 2009 | HTML | Text",1,Sun Microsystems Inc.,Intel(R) Xeon(R) CPU E5472,3000,2,8,32,16,"141,739",353,213,245
Bull SAS,"NovaScale R440 F2 (Intel Xeon X5670, 2.93 GHz)
Oct 20, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"911,120",247,60.4,"2,831"
"Cisco Systems, Inc.
Cisco Systems, Inc.","UCS C220 M3
Oct 17, 2012 | HTML | Text",1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,443,280",261,59.5,"4,904"
"Colfax International
Advanced Micro Devices","CX2266-N2
Dec 11, 2007 | HTML | Text",1,"BEA Systems, Inc",AMD Opteron 2216HE,2400,2,4,4,16,"95,853",276,164,203
DEPO Computers,"DEPO Storm 3350V2
Oct 7, 2014 | HTML | Text",1,Oracle Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,32,"1,634,387",232,97.1,"5,244"
DEPO Computers,"DEPO Race X340H
Dec 19, 2014 | HTML | Text",1,Oracle Corporation,Intel Core i5-4570,3200,1,4,4,16,322 278,131,"83,2","1,469"
Dell Inc.,"PowerEdge 2950 III (Intel Xeon E5440)
Dec 11, 2007 | HTML | Text",1,"BEA Systems, Inc.",Intel Xeon E5440,2833,2,8,8,16,"305,413",276,157,682
Dell Inc.,"PowerEdge 1950 III (Intel Xeon E5440)
Feb 27, 2008 | HTML | Text",1,"BEA Systems, Inc.",Intel Xeon E5440,2833,2,8,8,8,"284,028",244,143,712
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Dell Inc.,"PowerEdge 2950 III (Intel Xeon E5440)
Feb 27, 2008 | HTML | Text",1,"BEA Systems, Inc.",Intel Xeon E5440,2833,2,8,8,16,"298,188",254,147,719
Dell Inc.,"PowerEdge R300
Mar 26, 2008 | HTML | Text",1,"BEA Systems, Inc.",Intel Xeon L5410,2330,1,4,4,8,"155,342",117,75.1,800
Dell Inc.,"PowerEdge Energy Smart 1950 III (Intel Xeon L5420)
Jul 31, 2008 | HTML | Text",1,"BEA Systems, Inc.",Intel Xeon L5420,2500,2,8,8,8,"282,904",226,143,744
Dell Inc.,"PowerEdge 2970 (AMD Opteron 2356, 2.30 GHz)
Jan 2, 2009 | HTML | Text",1,Oracle Inc.,AMD Opteron 2356,2300,2,8,8,16,"247,542",302,139,545
Dell Inc.,"PowerEdge 2970 (AMD Opteron 2382, 2.60 GHz)
Jan 2, 2009 | HTML | Text",1,Oracle Inc.,AMD Opteron 2382,2600,2,8,8,16,"331,257",258,127,851
Dell Inc.,"PowerEdge R610 (Intel Xeon X5570, 2.93 GHz)
May 20, 2009 | HTML | Text",1,Oracle Corporation,Intel Xeon X5570,2933,2,8,16,12,"550,081",236,63.2,"1,844"
Dell Inc.,"PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)
Jun 3, 2009 | HTML | Text",1,Oracle Corporation,Intel Xeon X5570,2933,2,8,16,8,"540,907",220,65,"1,860"
Dell Inc.,"PowerEdge R610 (Intel Xeon L5530, 2.40 GHz)
Sep 9, 2009 | HTML | Text",1,Oracle Corporation,Intel Xeon L5530,2400,2,8,16,8,"468,471",172,60,"1,930"
Dell Inc.,"PowerEdge R710 (Intel Xeon L5530, 2.40 GHz)
Oct 21, 2009 | HTML | Text",1,Oracle Corporation,Intel Xeon L5530,2400,2,8,16,8,"470,740",172,62.8,"1,918"
Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)
May 19, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"914,076",244,62.3,"2,938"
Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 2.93 GHz)
May 19, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"910,681",236,64.6,"2,963"
Dell Inc.,"PowerEdge R815 (AMD Opteron 6174, 2.20 GHz)
Jun 30, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 6174,2200,2,24,24,16,"926,676",279,100,"2,357"
Dell Inc.,"PowerEdge R815 (AMD Opteron 6174, 2.20 GHz)
Jun 30, 2010 | HTML | Text",1,IBM Corporation,AMD Opteron 6174,2200,4,48,48,32,"1,840,454",509,142,"2,696"
"Hardware Vendor
Test Sponsor","System
Enclosure (if applicable)",Nodes,JVM Vendor,Processor,,,,,"Total
Memory (GB)",Submeasurements,,,"Result
(Overall ssj_ops/watt)"
,,,,CPU Description,MHz,Chips,Cores,"Total
Threads",,"ssj_ops
@ 100%","avg. watts
@ 100%","avg. watts
@ active idle",
Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)
Aug 11, 2010 | HTML | Text",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"913,806",242,61.9,"3,004"
