Nodes,processor,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company,brand,make,model,moniker,version
1,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,255,68.5,2013,intel,xeon,, e5-2660,,
1,Intel(R) Xeon(R) CPU X5570,2930,2,8,16,18,334,173,2009,intel,xeon,, x5570,,
1,Intel(R) Xeon(R) CPU E5472,3000,2,8,32,16,353,213,2009,intel,xeon,, e5472,,
1,Intel Xeon X5670,2933,2,12,24,12,247,60.4,2010,intel,xeon,, x5670,,
1,Intel Xeon E5-2660,2200,2,16,32,24,261,59.5,2012,intel,xeon,, e5-2660,,
1,AMD Opteron 2216HE,2400,2,4,4,16,276,164,2007,amd,opteron,, 2216,h,
1,Intel Xeon E5-2660 v2,2200,2,20,40,32,232,97.1,2014,intel,xeon,, e5-2660,, v2
1,Intel Core i5-4570,3200,1,4,4,16,131,"83,2",2014,intel,core,, i5-4570,,
1,Intel Xeon E5440,2833,2,8,8,16,276,157,2007,intel,xeon,, e5440,,
1,Intel Xeon E5440,2833,2,8,8,8,244,143,2008,intel,xeon,, e5440,,
1,Intel Xeon E5440,2833,2,8,8,16,254,147,2008,intel,xeon,, e5440,,
1,Intel Xeon L5410,2330,1,4,4,8,117,75.1,2008,intel,xeon,, l5410,,
1,Intel Xeon L5420,2500,2,8,8,8,226,143,2008,intel,xeon,, l5420,,
1,AMD Opteron 2356,2300,2,8,8,16,302,139,2009,amd,opteron,, 2356,,
1,AMD Opteron 2382,2600,2,8,8,16,258,127,2009,amd,opteron,, 2382,,
1,Intel Xeon X5570,2933,2,8,16,12,236,63.2,2009,intel,xeon,, x5570,,
1,Intel Xeon X5570,2933,2,8,16,8,220,65,2009,intel,xeon,, x5570,,
1,Intel Xeon L5530,2400,2,8,16,8,172,60,2009,intel,xeon,, l5530,,
1,Intel Xeon L5530,2400,2,8,16,8,172,62.8,2009,intel,xeon,, l5530,,
1,Intel Xeon X5670,2933,2,12,24,12,244,62.3,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,236,64.6,2010,intel,xeon,, x5670,,
1,AMD Opteron 6174,2200,2,24,24,16,279,100,2010,amd,opteron,, 6174,,
1,AMD Opteron 6174,2200,4,48,48,32,509,142,2010,amd,opteron,, 6174,,
1,Intel Xeon X5670,2933,2,12,24,12,242,61.9,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,232,64,2010,intel,xeon,, x5670,,
16,Intel Xeon X5670,2933,32,192,384,192,"3,716",877,2010,intel,xeon,, x5670,,
1,Intel Xeon X5670,2933,2,12,24,12,266,56.9,2010,intel,xeon,, x5670,,
8,AMD Opteron 6176 (2.30 GHz),2300,32,384,384,256,"4,219","1,068",2011,amd,opteron,, 6176,,
16,Intel Xeon X5675 (3.06 GHz),3060,32,192,384,384,"3,780",972,2011,intel,xeon,, x5675,,
16,Intel Xeon X5675 (3.06 GHz),3060,32,192,384,384,"3,504",873,2011,intel,xeon,, x5675,,
4,Intel Xeon 5675,3067,8,48,96,64,895,227,2011,intel,xeon,, 5675,,
1,Intel Xeon X5675,3066,2,12,24,24,227,62.2,2011,intel,xeon,, x5675,,
8,AMD Opteron 6276 (2.30 GHz),2300,32,512,512,512,"4,847","1,107",2011,amd,opteron,, 6276,,
1,Intel Xeon E5-2670 2.60 GHz,2600,2,16,32,24,243,54.1,2012,intel,xeon,, e5-2670,,
1,Intel Xeon E5-2670 2.60 GHz,2600,2,16,32,24,231,51,2012,intel,xeon,, e5-2670,,
1,Intel Xeon E5-2670 2.60 GHz,2600,2,16,32,24,227,50.2,2012,intel,xeon,, e5-2670,,
16,Intel Xeon E5-2670 2.60 GHz,2600,32,256,512,384,"3,881",828,2012,intel,xeon,, e5-2670,,
1,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,263,56.1,2012,intel,xeon,, e5-2660,,
1,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,250,52.7,2012,intel,xeon,, e5-2660,,
