processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon E5-2640,,xeon,, e5-2640,,,1.0,Intel Xeon E5-2640,2500.0,2.0,12.0,24,128,307,99.5,2012.0,intel,4.15,12.79,8.29,25.58,2.0
Xeon E5-2640,,xeon,, e5-2640,,,1.0,Intel Xeon E5-2640,2500.0,2.0,12.0,24,32,254,81.9,2012.0,intel,3.41,10.58,6.83,21.17,2.0
Xeon E5-2640,,xeon,, e5-2640,,,1.0,Intel Xeon E5-2640,2500.0,2.0,12.0,24,32,255,83.5,2012.0,intel,3.48,10.63,6.96,21.25,2.0
Xeon E5-2640,,xeon,, e5-2640,,,1.0,Intel Xeon E5-2640,2500.0,2.0,12.0,24,128,327,98.2,2012.0,intel,4.09,13.63,8.18,27.25,2.0
Xeon E5-2640,,xeon,, e5-2640,,,1.0,Intel Xeon E5-2640,2500.0,2.0,12.0,24,32,231,57,2012.0,intel,2.38,9.63,4.75,19.25,2.0
Xeon E5-2650,,xeon,, e5-2650,,,1.0,Intel Xeon E5-2650,2200.0,2.0,16.0,32,32,215,52.9,2013.0,intel,1.65,6.72,3.31,13.44,2.0
Xeon E5-2650,,xeon,, e5-2650,,,1.0,Intel Xeon E5-2650 2.0 GHz (Intel Turbo Boost Technology up to 2.80 GHz),2000.0,2.0,16.0,32,24,223,64,2013.0,intel,2.0,6.97,4.0,13.94,2.0
Xeon E5-2650,,xeon,, e5-2650,,,1.0,Intel Xeon E5-2650 2.0 GHz (Intel Turbo Boost Technology up to 2.80 GHz),2000.0,2.0,16.0,32,24,219,56.1,2013.0,intel,1.75,6.84,3.51,13.69,2.0
Xeon E5-2650,,xeon,, e5-2650,,,1.0,Intel Xeon E5-2650,2000.0,2.0,16.0,32,24,207,55.3,2013.0,intel,1.73,6.47,3.46,12.94,2.0
Xeon E5-2650L,,xeon,, e5-2650,l,,1.0,Intel Xeon E5-2650L,1800.0,2.0,16.0,32,32,178,57.5,2012.0,intel,1.8,5.56,3.59,11.13,2.0
Xeon E5-2650L,,xeon,, e5-2650,l,,1.0,Intel Xeon E5-2650L,1800.0,2.0,16.0,32,32,170,55.3,2012.0,intel,1.73,5.31,3.46,10.63,2.0
Xeon E5-2650L,,xeon,, e5-2650,l,,2.0,Intel Xeon E5-2650L,1800.0,4.0,32.0,64,64,386,142,2012.0,intel,2.22,6.03,4.44,12.06,2.0
Xeon E5-2650L,,xeon,, e5-2650,l,,1.0,Intel Xeon E5-2650L,1800.0,2.0,16.0,32,16,161,52.2,2012.0,intel,1.63,5.03,3.26,10.06,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,315,69.4,2013.0,intel,2.17,9.84,4.34,19.69,2.0
Xeon E5-2660,,xeon,, e5-2660,,,4.0,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,8.0,64.0,128,128,"1,275",331,2012.0,intel,2.59,9.96,5.17,19.92,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,316,71.5,2013.0,intel,2.23,9.88,4.47,19.75,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,275,80.4,2013.0,intel,2.51,8.59,5.03,17.19,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,32,252,63.7,2013.0,intel,1.99,7.88,3.98,15.75,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,258,72.4,2013.0,intel,2.26,8.06,4.53,16.13,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,255,68.5,2013.0,intel,2.14,7.97,4.28,15.94,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,24,261,59.5,2012.0,intel,1.86,8.16,3.72,16.31,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,263,56.1,2012.0,intel,1.75,8.22,3.51,16.44,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,250,52.7,2012.0,intel,1.65,7.81,3.29,15.63,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,246,51.3,2012.0,intel,1.6,7.69,3.21,15.38,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,230,53.8,2012.0,intel,1.68,7.19,3.36,14.38,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,231,52.3,2012.0,intel,1.63,7.22,3.27,14.44,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,242,51,2012.0,intel,1.59,7.56,3.19,15.13,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200.0,2.0,16.0,32,24,248,54.9,2012.0,intel,1.72,7.75,3.43,15.5,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz,2200.0,2.0,16.0,32,24,258,56.1,2012.0,intel,1.75,8.06,3.51,16.13,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660 2.20 GHz,2200.0,2.0,16.0,32,24,240,50.3,2012.0,intel,1.57,7.5,3.14,15.0,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,32,245,53.1,2012.0,intel,1.66,7.66,3.32,15.31,2.0
Xeon E5-2660,,xeon,, e5-2660,,,1.0,Intel Xeon E5-2660,2200.0,2.0,16.0,32,32,257,58.6,2012.0,intel,1.83,8.03,3.66,16.06,2.0
